Date,Open,High,Low,Volume,Close,Adj Close
12/8/15,227.520004,228.800003,224.199997,2687600,226.720001,226.720001
12/9/15,226.699997,227.5,220.720001,3057800,224.520004,224.520004
12/10/15,224.710007,228.490005,223.639999,2071700,227.070007,227.070007
12/11/15,225.240005,225.75,216.639999,3268700,217.020004,217.020004
12/14/15,217.509995,220.919998,214.869995,2827100,218.580002,218.580002
12/15/15,221.820007,222.220001,218,2244400,221.089996,221.089996
12/16/15,222.100006,234.880005,220.729996,5104300,234.509995,234.509995
12/17/15,233.940002,237.759995,229.809998,3298600,233.389999,233.389999
12/18/15,232.889999,235.899994,229.289993,3014200,230.460007,230.460007
12/21/15,231.690002,235.830002,231.080002,1953200,232.559998,232.559998
12/22/15,234.990005,236.550003,229.630005,1961500,229.949997,229.949997
12/23/15,232.179993,233.449997,228.130005,1555000,229.699997,229.699997
12/24/15,230.559998,231.880005,228.279999,708000,230.570007,230.570007
12/28/15,231.490005,231.979996,225.539993,1901300,228.949997,228.949997
12/29/15,230.059998,237.720001,229.550003,2406300,237.190002,237.190002
12/30/15,236.600006,243.630005,235.669998,3697900,238.089996,238.089996
12/31/15,238.509995,243.449997,238.369995,2715000,240.009995,240.009995
1/4/16,230.720001,231.380005,219,6827100,223.410004,223.410004
1/5/16,226.360001,226.889999,220,3186800,223.429993,223.429993
1/6/16,220,220.050003,215.979996,3779100,219.039993,219.039993
1/7/16,214.190002,218.440002,213.669998,3554300,215.649994,215.649994
1/8/16,217.860001,220.440002,210.770004,3628100,211,211
1/11/16,214.009995,214.449997,203,4091400,207.850006,207.850006
1/12/16,211.600006,213.740005,205.309998,3091900,209.970001,209.970001
1/13/16,212.009995,212.649994,200,4126400,200.309998,200.309998
1/14/16,202.210007,210,193.380005,6490700,206.179993,206.179993
1/15/16,198.970001,205.070007,197.25,5578600,204.990005,204.990005
1/19/16,208.710007,210.470001,200.779999,4038700,204.720001,204.720001
1/20/16,199.399994,201.279999,191.25,5838600,198.699997,198.699997
1/21/16,201.550003,203.229996,195.020004,3166200,199.970001,199.970001
1/22/16,204.800003,205.5,199.029999,3124100,202.550003,202.550003
1/25/16,200.059998,203.570007,195.880005,2698700,196.380005,196.380005
1/26/16,196.699997,197.820007,188.880005,4964200,193.559998,193.559998
